1990-92,1995-97,2000-02,2006-08,Country Code
1530,1570,1520,-1105,ERI
1860,1710,1680,-1015,BDI
1900,1810,1750,-855,COM
1730,1780,1900,-845,HTI
2010,1970,1890,-815,ZMB
1550,1650,1840,-745,ETH
1880,1850,1910,-735,CAF
1580,1660,1790,-735,AGO
1700,1790,1940,-685,TCD
2080,1910,1940,-675,TZA
1940,2010,2020,-675,TLS
1970,2020,2020,-665,KEN
1980,1980,2010,-645,YEM
1750,1920,1950,-625,MOZ
1830,1730,1980,-605,RWA
2030,2100,2160,-595,BOL
2340,2160,2120,-585,PRK
1950,2060,1990,-575,SLE
2200,2090,2060,-565,MDG
1870,1980,2090,-545,MWI
2290,2170,2140,-545,GTM
1890,2010,2030,-545,TGO
1870,1850,2070,-515,KHM
2020,1940,1900,-505,TJK
2220,2170,2110,-495,LBR
1980,1940,2010,-485,ZWE
2280,2200,2280,-475,UGA
2260,2220,2180,-465,BWA
2080,2060,2210,-455,MNG
2010,2040,2120,-455,LAO
2020,2020,2160,-455,CMR
1920,2030,2140,-435,ARM
2290,2210,2220,-425,GNB
2160,2200,2240,-425,DOM
1960,1930,2170,-425,BGD
2190,2140,2140,-415,SEN
1960,2100,2150,-415,SDN
2210,2340,2270,-415,PAK
2380,2190,2290,-405,SWZ
2110,2250,2240,-395,ECU
1720,1860,2030,-395,DJI
2470,2240,2280,-365,GMB
2510,2180,2110,-365,ATG
2190,2210,2260,-355,NPL
2060,2100,2290,-335,NAM
2290,2320,2260,-335,IND
2170,2250,2360,-325,LKA
1970,1980,2150,-305,NER
2470,2390,2300,-295,GRD
2120,2320,2360,-295,SLB
2280,2320,2390,-295,SYC
2110,2260,2340,-285,PER
1770,1970,2250,-275,NIC
2320,2290,2330,-245,PAN
2580,2430,2500,-235,KNA
2370,2380,2430,-235,LSO
2440,2490,2430,-235,SUR
2470,2430,2440,-195,CIV
2250,2320,2410,-185,BEN
2370,2360,2350,-165,CPV
2250,2430,2460,-155,THA
2400,2430,2550,-145,MDV
2390,2570,2480,-145,IDN
2420,2440,2440,-145,GIN
2650,2670,2320,-135,UZB
1970,1980,2370,-125,COG
2230,2340,2400,-115,PHL
2400,2430,2630,-115,SLV
2180,2220,2390,-105,MLI
2300,2410,2510,-85,HND
2460,2390,2420,-45,VEN
2870,2860,2610,-45,BMU
2230,2230,2450,-35,STP
2390,2590,2640,-35,PRY
2400,2510,2440,-35,KGZ
2460,2530,2530,-5,BFA
2410,2580,2650,-5,COL
2610,2570,2700,5,TTO
2850,2970,2630,5,SCG
2310,2530,2560,15,NGA
2510,2500,2610,15,BLZ
2520,2600,2660,15,GAB
2580,2680,2680,15,LCA
2610,2560,2700,15,BHS
1850,2320,2500,35,GEO
2550,2560,2630,45,TKM
2300,2570,2780,45,GUY
3070,2770,2790,65,BGR
2090,2310,2520,85,VNM
2920,2920,2860,105,JPN
2580,2700,2770,115,MRT
2810,2740,2780,115,NZL
2650,2760,2820,125,KIR
2820,2750,2820,125,CRI
2510,2700,2800,145,JAM
2660,2740,2800,145,URY
2880,2640,2680,155,MDA
2360,2370,2630,165,VCT
2480,2700,2850,185,PYF
2550,2520,2810,195,WSM
2720,2960,2850,195,MYS
2560,2850,2850,195,ALB
2900,2910,2790,205,SVK
2120,2480,2630,205,GHA
2760,2810,2890,235,MUS
2530,2590,2630,255,VUT
2600,2740,2840,265,CHL
2730,2850,2910,285,BRN
2420,2540,2670,295,HRV
2580,2840,2920,295,CHN
3170,2980,2920,295,LVA
2640,2770,2930,305,FJI
2650,2970,3080,305,NLD
2820,2810,2900,305,ZAF
2840,2700,2740,305,JOR
3040,3010,3050,325,BRB
2160,2170,2510,325,AZE
2350,3010,2970,335,KWT
3010,3160,3140,335,ARG
2970,3050,3050,345,KOR
2830,2980,3030,345,SYR
2970,3040,3060,355,IRN
2550,2640,2770,365,MKD
2670,2880,2820,385,BIH
3010,3010,3070,395,LBN
3000,2980,3090,395,DMA
2890,2880,2990,395,DZA
2990,3080,3110,415,SWE
2760,2840,2910,425,BRA
2850,2940,3010,425,SAU
2750,2990,3040,445,EST
3210,3170,3130,455,NCL
3180,3240,3000,455,BLR
3180,3170,3110,455,LBY
3090,3210,3230,465,EGY
3160,3130,3120,475,ARE
3120,3230,3200,495,CYP
3150,3060,3160,525,FIN
3130,3080,3050,525,AUS
2900,2990,3060,525,SVN
3280,3280,3230,565,ANT
3340,3320,3370,565,ESP
3090,3080,3170,565,ISL
3090,3100,3210,565,MEX
3000,3030,3090,565,MAR
3080,3250,3160,585,CZE
3040,2850,2980,595,UKR
2960,2870,2980,625,RUS
3120,3220,3250,635,TUN
3330,3310,3410,715,POL
3220,3340,3370,715,DNK
2720,2450,3110,725,CUB
2830,3000,3350,735,LTU
3240,3260,3410,755,GBR
3370,3320,3400,755,CHE
3230,3280,3400,755,NOR
3610,3280,3400,775,HUN
2990,3080,3270,795,ROU
3590,3500,3450,805,TUR
3280,3120,2630,815,KAZ
3050,3280,3520,835,CAN
3530,3530,3640,835,FRA
3410,3460,3560,835,ISR
3390,3350,3480,845,DEU
3400,3490,3580,885,PRT
3620,3610,3670,895,IRL
3240,3450,3470,905,MLT
3580,3530,3700,955,ITA
3590,3620,3640,985,LUX
3590,3620,3720,995,BEL
3560,3510,3660,1015,GRC
3510,3570,3720,1055,USA
3540,3610,3790,1105,AUT
