gvh,aac,alm1,alm2,species
0.29,0.56,0.24,0.35,cytoplasm
0.4,0.54,0.35,0.44,cytoplasm
0.4,0.49,0.37,0.46,cytoplasm
0.49,0.52,0.45,0.36,cytoplasm
0.32,0.55,0.25,0.35,cytoplasm
0.39,0.36,0.38,0.46,cytoplasm
0.28,0.44,0.23,0.34,cytoplasm
0.34,0.51,0.28,0.39,cytoplasm
0.44,0.46,0.51,0.57,cytoplasm
0.4,0.56,0.18,0.3,cytoplasm
0.24,0.57,0.27,0.37,cytoplasm
0.48,0.44,0.17,0.29,cytoplasm
0.32,0.46,0.24,0.35,cytoplasm
0.5,0.46,0.32,0.35,cytoplasm
0.43,0.48,0.16,0.28,cytoplasm
0.4,0.46,0.44,0.52,cytoplasm
0.45,0.38,0.24,0.35,cytoplasm
0.27,0.55,0.52,0.58,cytoplasm
0.4,0.39,0.28,0.38,cytoplasm
0.57,0.39,0.21,0.32,cytoplasm
0.45,0.38,0.22,0,cytoplasm
0.23,0.73,0.05,0.14,cytoplasm
0.54,0.41,0.34,0.43,cytoplasm
0.16,0.56,0.11,0.23,cytoplasm
0.39,0.48,0.22,0.23,cytoplasm
0.37,0.48,0.44,0.52,cytoplasm
0.4,0.47,0.33,0.42,cytoplasm
0.51,0.5,0.32,0.41,cytoplasm
0.37,0.53,0.35,0.44,cytoplasm
0.39,0.47,0.31,0.41,cytoplasm
0.38,0.44,0.26,0.36,cytoplasm
0.33,0.38,0.35,0.44,cytoplasm
0.51,0.34,0.37,0.46,cytoplasm
0.29,0.42,0.35,0.44,cytoplasm
0.35,0.31,0.19,0.31,cytoplasm
0.54,0.41,0.38,0.46,cytoplasm
0.52,0.42,0.29,0.39,cytoplasm
0.47,0.59,0.3,0.4,cytoplasm
0.42,0.35,0.28,0.38,cytoplasm
0.46,0.48,0.22,0.29,cytoplasm
0.45,0.52,0.32,0.41,cytoplasm
0.37,0.59,0.41,0.49,cytoplasm
0.5,0.45,0.39,0.47,cytoplasm
0.38,0.5,0.33,0.42,cytoplasm
0.45,0.48,0.35,0.41,cytoplasm
0.38,0.45,0.42,0.5,cytoplasm
0.35,0.55,0.55,0.61,cytoplasm
0.4,0.39,0.28,0.39,cytoplasm
0.35,0.58,0.15,0.27,cytoplasm
0.33,0.43,0.33,0.43,cytoplasm
0.52,0.42,0.42,0.36,cytoplasm
0.3,0.45,0.03,0.17,cytoplasm
0.36,0.35,0.39,0.47,cytoplasm
0.58,0.37,0.53,0.59,cytoplasm
0.47,0.22,0.16,0.26,cytoplasm
0.47,0.28,0.33,0.42,cytoplasm
0.37,0.35,0.36,0.45,cytoplasm
0.35,0.45,0.33,0.42,cytoplasm
0.34,0.3,0.33,0.43,cytoplasm
0.38,0.54,0.34,0.43,cytoplasm
0.56,0.5,0.46,0.54,cytoplasm
0.36,0.41,0.28,0.38,cytoplasm
0.41,0.48,0.47,0.54,cytoplasm
0.3,0.46,0.24,0.35,cytoplasm
0.29,0.51,0.33,0.43,cytoplasm
0.43,0.54,0.52,0.59,cytoplasm
0.37,0.41,0.33,0.42,cytoplasm
0.57,0.42,0.47,0.54,cytoplasm
0.37,0.43,0.26,0.36,cytoplasm
0.48,0.56,0.4,0.48,cytoplasm
0.26,0.34,0.25,0.35,cytoplasm
0.51,0.47,0.26,0.36,cytoplasm
0.5,0.42,0.36,0.45,cytoplasm
0.42,0.42,0.25,0.2,cytoplasm
0.43,0.37,0.28,0.38,cytoplasm
0.3,0.48,0.26,0.36,cytoplasm
0.42,0.45,0.25,0.35,cytoplasm
0.48,0.51,0.44,0.51,cytoplasm
0.28,0.43,0.27,0.37,cytoplasm
0.41,0.48,0.38,0.46,cytoplasm
0.28,0.41,0.35,0.44,cytoplasm
0.43,0.45,0.31,0.41,cytoplasm
